country,city,W,S,E,N,FileSize
Russian Fed.,Moscow,37.431,55.688,37.812,55.818,67
United Arab Emirates,Dubai,54.89045429999999,24.7921359,55.5650393,25.3585607,10
Taiwan,Taipei,121.2826735,24.7900797,121.7300824,25.2443731,18
India,New Delhi,77.07301009999999,28.4041,77.3449601,28.65048,11
Indonesia,Jakarta,106.747,-6.224,106.9,-6.105,22
Jordan,Amman,35.6797295,31.5829089,36.2155321,32.0886118,2
Philippines,Manila,120.932951,14.5539791,121.0261686,14.6390175,4
Iran,Tehran,51.0934209,35.5590784,51.6062163,35.8345498,7
Singapore,Singapore,103.594,1.1496,104.0945001,1.4784001,15
Spain,Madrid,-3.794,40.35,-3.568,40.486,41
Iceland,Reykjavik,-21.9865021,64.0898138,-21.7183826,64.1771669,7
Turkey,Istanbul,28.595554,40.811404,29.4288049,41.199239,17
Denmark,Copenhagen,12.4533824,55.615441,12.7342654,55.7270937,11
Greece,Athens,23.6869862,37.9488181,23.7896925,38.0328563,8
Cyprus,Nicosia,33.3185077,35.1521879,33.4762967,35.2323172,1
Georgia,Tbilisi,44.6600246,41.6210248,45.0176811,41.8438937,4
Ukraine,Kiev,30.302,50.313,30.784,50.555,23
Bosnia - Herzegovina,Sarajevo,18.2487844,43.820974,18.5171986,43.9664726,3
Algeria,Algiers,3.0540584,36.7488675,3.0616236,36.7587844,0
Botswana,Gaborone,25.8387927,-24.7120382,26.0222162,-24.5065762,2
Egypt,Cairo,31.2149558,30.0083745,31.3019729,30.1106024,0
Ethiopia,Addis Ababa,38.6560823,8.8406988,38.90020730000001,9.0856549,2
Ghana,Accra,-0.2991199,5.5139869,-0.060339,5.668430499999999,2
Rwanda,Kigali,30.0249481,-2.0237232,30.1841457,-1.8858746,1
Nigeria,Abuja,7.233123799999999,8.9220428,7.5555897,9.1866247,1
Tanzania,Dodoma,35.6933325,-6.2456897,35.8529679,-6.1002055,1
Senegal,Dakar,-17.536581,14.6419347,-17.395069,14.7801142,4
Australia,Sydney,150.911,-34.006,151.316,-33.74,14
New Zealand,Wellington,174.613084,-41.3624551,174.9106252,-41.126285,8
Mexico,Mexico City,-99.3267771,19.1887101,-98.9604482,19.5927571,11
Panama,Panama City,-79.5993804,8.903133799999999,-79.3068941,9.2596966,2
Nicaragua,Managua,-86.3918334,12.0199606,-86.1250878,12.1753574,2
Dominican Republic,Santo Domingo,-70.0196028,18.4125184,-69.8744203,18.5475279,2
Martinique,Fort-de-France,-61.1036397,14.5897509,-61.033945,14.7076481,5
Cuba,Havana,-82.574873,22.9200574,-82.0911311,23.1813159,6
Ecuador,Quito,-78.58692169999999,-0.3951614,-78.2741547,0.0219727,6
Argentina,Buenos Aires,-58.5314522,-34.7051011,-58.33514470000001,-34.5265464,10
Brazil,Sao Paulo,-46.745,-23.642,-46.517,-23.477,24
